name,description,type
31001_2727,Stall für Tiergroßhaltung,non-residential
31001_2728,Reithalle,non-residential
31001_2729,Wirtschaftsgebäude,non-residential
31001_2732,Almhütte,non-residential
31001_2735,"Jagdhaus, Jagdhütte",non-residential
31001_2740,"Treibhaus, Gewächshaus",non-residential
31001_2741,Treibhaus,non-residential
31001_2742,"Gewächshaus, verschiebbar",non-residential
31001_3000,Gebäude für öffentliche Zwecke,non-residential
31001_3010,Verwaltungsgebäude,non-residential
31001_3011,Parlament,non-residential
31001_3012,Rathaus,non-residential
31001_3013,Post,non-residential
31001_3014,Zollamt,non-residential
31001_3015,Gericht,non-residential
31001_3016,"Botschaft, Konsulat",non-residential
31001_3017,Kreisverwaltung,non-residential
31001_3018,Bezirksregierung,non-residential
31001_3019,Finanzamt,non-residential
31001_3020,Gebäude für Bildung und Forschung,non-residential
31001_3021,Allgemein bildende Schule,non-residential
31001_3022,Berufsbildende Schule,non-residential
31001_3023,"Hochschulgebäude (Fachhochschule, Universität)",non-residential
31001_3024,Forschungsinstitut,non-residential
31001_3030,Gebäude für kulturelle Zwecke,non-residential
31001_3031,Schloss,non-residential
31001_3032,"Theater, Oper",non-residential
31001_3033,Konzertgebäude,non-residential
31001_3034,Museum,non-residential
31001_3035,"Rundfunk, Fernsehen",non-residential
31001_3036,Veranstaltungsgebäude,non-residential
31001_3037,"Bibliothek, Bücherei",non-residential
31001_3038,"Burg, Festung",non-residential
31001_3040,Gebäude für religiöse Zwecke,non-residential
31001_3041,Kirche,non-residential
31001_3042,Synagoge,non-residential
31001_3043,Kapelle,non-residential
31001_3044,Gemeindehaus,non-residential
31001_3045,Gotteshaus,non-residential
31001_3046,Moschee,non-residential
31001_3047,Tempel,non-residential
31001_3048,Kloster,non-residential
31001_3050,Gebäude für Gesundheitswesen,non-residential
31001_3051,Krankenhaus,non-residential
31001_3052,"Heilanstalt, Pflegeanstalt, Pflegestation",non-residential
31001_3053,"Ärztehaus, Poliklinik",non-residential
31001_3060,Gebäude für soziale Zwecke,non-residential
31001_3061,Jugendfreizeitheim,non-residential
31001_3062,"Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus",non-residential
31001_3063,Seniorenfreizeitstätte,non-residential
31001_3064,Obdachlosenheim,residential
31001_3065,"Kinderkrippe, Kindergarten, Kindertagesstätte",non-residential
31001_3066,Asylbewerberheim,residential
31001_3070,Gebäude für Sicherheit und Ordnung,non-residential
31001_3071,Polizei,non-residential
31001_3072,Feuerwehr,non-residential
31001_3073,Kaserne,non-residential
31001_3074,Schutzbunker,non-residential
31001_3075,Justizvollzugsanstalt,non-residential
